pressure,water_melt,carbon_dioxide_melt,water_vapor,carbon_dioxide_vapor,mi_CO2,mi_S,mi_H2O,pressure
323.526087,4.303121978,982.6849668,45.49407717,54.50592283,,,,
320.531401,4.298991796,963.1096687,45.84256301,54.15743699,,,,
317.536715,4.29475341,943.6657297,46.19605462,53.80394538,,,,
314.542029,4.290402567,924.3546245,46.55464227,53.44535773,,,,
311.547343,4.285934811,905.1778979,46.91841651,53.08158349,,,,
308.552657,4.281345466,886.1371678,47.28746796,52.71253204,,,,
305.557971,4.276629624,867.2341285,47.66188711,52.33811289,,,,
302.563285,4.271782136,848.4705526,48.04176403,51.95823597,,,,
299.568599,4.266797599,829.8482954,48.42718813,51.57281187,,,,
296.573913,4.261670338,811.3692975,48.81824779,51.18175221,,,,
293.5792271,4.256394399,793.0355875,49.21503007,50.78496993,,,,
290.5845411,4.250963527,774.849287,49.61762029,50.38237971,,,,
287.5898551,4.245371158,756.8126115,50.02610157,49.97389843,,,,
284.5951691,4.239610397,738.9278762,50.44055445,49.55944555,,,,
281.6004831,4.233674008,721.1974972,50.86105627,49.13894373,,,,
278.6057971,4.22755439,703.623995,51.28768065,48.71231935,,,,
275.6111111,4.221243566,686.2099995,51.72049689,48.27950311,,,,
272.6164251,4.214733164,668.9582505,52.15956923,47.84043077,,,,
269.6217391,4.208014395,651.8716014,52.60495618,47.39504382,,,,
266.6270531,4.201078041,634.9530223,53.05670966,46.94329034,,,,
263.6323671,4.193914433,618.2056012,53.51487421,46.48512579,,,,
260.6376812,4.186513432,601.6325465,53.979486,46.020514,,,,
257.6429952,4.178864414,585.2371869,54.45057188,45.54942812,,,,
254.6483092,4.17095625,569.022974,54.9281483,45.0718517,,,,
251.6536232,4.162777291,552.9934815,55.41222023,44.58777977,,,,
248.6589372,4.154315349,537.1524035,55.9027799,44.0972201,,,,
245.6642512,4.145557686,521.5035542,56.39980564,43.60019436,,,,
242.6695652,4.136490996,506.0508637,56.90326053,43.09673947,,,,
239.6748792,4.127101396,490.7983749,57.41309106,42.58690894,,,,
236.6801932,4.117374418,475.7502379,57.92922577,42.07077423,,,,
233.6855072,4.107294999,460.9107023,58.45157382,41.54842618,,,,
230.6908213,4.096847479,446.2841092,58.98002357,41.01997643,,,,
227.6961353,4.086015603,431.8748809,59.51444121,40.48555879,,,,
224.7014493,4.074782522,417.6875069,60.0546693,39.9453307,,,,
221.7067633,4.063130806,403.7265308,60.6005255,39.3994745,,,,
218.7120773,4.051042454,389.9965311,61.1518013,38.8481987,,,,
215.7173913,4.038498919,376.5021035,61.70826089,38.29173911,,,,
212.7227053,4.02548113,363.2478367,62.26964011,37.73035989,,,,
209.7280193,4.011969528,350.2382897,62.83564573,37.16435427,,,,
206.7333333,3.997944103,337.4779623,63.40595474,36.59404526,,,,
203.7386473,3.983384446,324.9712669,63.98021413,36.01978587,,,,
200.7439614,3.968269797,312.7224944,64.55804075,35.44195925,,,,
197.7492754,3.952185554,300.1499175,65.15118988,34.84881012,,,,
194.7545894,3.935374341,287.7005274,65.75008872,34.24991128,,,,
191.7599034,3.917944911,275.5773836,66.35013794,33.64986206,,,,
188.7652174,3.899875744,263.7822266,66.95087945,33.04912055,,,,
185.7705314,3.881145261,252.3164388,67.55183357,32.44816643,,,,
182.7758454,3.86173191,241.1810099,68.15250094,31.84749906,,,,
