,pressure,mean,std,variance
243,396.19921315618774,,,
244,395.6764628742351,,,
245,395.15371259228243,,,
246,394.6309623103298,,,
247,394.1082120283772,,,
248,393.5854617464246,,,
249,393.06271146447193,,,
250,392.5399611825193,,,
251,392.0172109005667,,,
252,391.4944606186141,,,
253,390.97171033666143,,,
254,390.4489600547088,,,
255,389.9262097727561,,,
256,389.4034594908035,,,
257,388.88070920885093,,,
258,388.3579589268983,,,
259,387.8352086449456,,,
260,387.31245836299297,,,
261,386.7897080810404,,,
262,386.2669577990878,,,
263,385.7442075171351,,,
264,385.22145723518247,,,
265,384.6987069532299,,,
266,384.1759566712773,,,
267,383.6532063893246,,,
268,383.13045610737197,,,
269,382.6077058254193,,,
270,382.0849555434667,,,
271,381.5622052615141,,,
272,381.03945497956147,,,
273,380.5167046976088,,,
274,379.99395441565616,,,
275,379.47120413370357,,,
276,378.94845385175097,,,
277,378.4257035697983,,,
278,377.90295328784566,,,
279,377.38020300589307,,,
280,376.8574527239404,,,
281,376.3347024419878,,,
282,375.81195216003516,,,
283,375.2892018780825,,,
284,374.7664515961299,,,
285,374.2437013141773,,,
286,373.72095103222466,,,
287,373.198200750272,,,
288,372.67545046831935,,,
289,372.15270018636676,,,
290,371.62994990441416,,,
291,371.1071996224615,,,
292,370.58444934050885,,,
293,370.06169905855626,,,
294,369.5389487766036,,,
295,369.016198494651,,,
296,368.49344821269835,,,
297,367.9706979307457,,,
298,367.4479476487931,,,
299,366.9251973668405,,,
300,366.40244708488785,,,
301,365.8796968029352,,,
302,365.35694652098255,,,
303,364.83419623902995,,,
304,364.31144595707735,,,
305,363.7886956751247,,,
306,363.26594539317205,,,
307,362.7431951112194,,,
308,362.2204448292668,,,
309,361.6976945473142,,,
310,361.17494426536155,,,
311,360.6521939834089,,,
312,360.1294437014563,,,
313,359.6066934195037,,,
314,359.08394313755105,,,
315,358.5611928555984,,,
316,358.03844257364574,,,
317,357.51569229169314,,,
318,356.99294200974055,,,
319,356.4701917277879,,,
320,355.94744144583524,,,
321,355.4246911638826,,,
322,354.90194088193,,,
323,354.3791905999774,,,
324,353.85644031802474,,,
325,353.3336900360721,,,
326,352.8109397541195,,,
327,352.28818947216683,,,
328,351.76543919021424,,,
329,351.2426889082616,,,
330,350.71993862630893,,,
331,350.19718834435633,,,
332,349.67443806240374,,,
333,349.1516877804511,,,
334,348.62893749849843,,,
335,348.1061872165458,,,
336,347.5834369345932,,,
337,347.0606866526406,,,
338,346.53793637068793,,,
339,346.0151860887353,,,
340,345.4924358067827,,,
341,344.96968552483,,,
342,344.44693524287743,,,
343,343.9241849609248,,,
344,343.4014346789721,,,
345,342.8786843970195,,,
346,342.35593411506693,,,
347,341.8331838331143,,,
348,341.3104335511616,,,
349,340.78768326920897,,,
350,340.2649329872564,,,
351,339.7421827053038,,,
352,339.2194324233511,,,
353,338.69668214139847,,,
354,338.1739318594458,,,
355,337.6511815774932,,,
356,337.1284312955406,,,
357,336.60568101358797,,,
358,336.0829307316353,,,
359,335.5601804496827,,,
360,335.0374301677301,,,
361,334.51467988577747,,,
362,333.9919296038248,,,
363,333.46917932187216,,,
364,332.94642903991956,,,
365,332.42367875796697,,,
366,331.9009284760143,,,
367,331.37817819406166,,,
368,330.855427912109,,,
369,330.3326776301564,,,
370,329.8099273482038,,,
371,329.28717706625116,,,
372,328.7644267842985,,,
373,328.2416765023459,,,
374,327.71892622039326,,,
